Step: 0, Train_loss:91.932
2018-10-13 22:56:30.057739 ---> Validation_loss: 81.5896
Step: 100, Train_loss:3.90822
Step: 200, Train_loss:1.86005
Step: 300, Train_loss:0.341247
Step: 400, Train_loss:0.213466
Step: 500, Train_loss:0.154835
Step: 600, Train_loss:0.230651
Step: 700, Train_loss:0.312147
Step: 800, Train_loss:0.167779
Step: 900, Train_loss:0.257909
Step: 1000, Train_loss:0.139115
Step: 1100, Train_loss:0.207696
Step: 1200, Train_loss:0.207748
Step: 1300, Train_loss:0.23799
Step: 1400, Train_loss:0.217586
Step: 1500, Train_loss:0.222731
Step: 1600, Train_loss:0.194837
Step: 1700, Train_loss:0.237909
Step: 1800, Train_loss:0.151026
Step: 1900, Train_loss:0.1108
Step: 2000, Train_loss:0.131746
Step: 2100, Train_loss:0.282846
Step: 2200, Train_loss:0.158422
Step: 2300, Train_loss:0.184192
Step: 2400, Train_loss:0.202524
Step: 2500, Train_loss:0.122424
Step: 2600, Train_loss:0.265068
Step: 2700, Train_loss:0.118852
Step: 2800, Train_loss:0.103792
Step: 2900, Train_loss:0.191695
Step: 3000, Train_loss:0.117796
2018-10-13 23:11:10.211806 ---> Validation_loss: 0.174098
Step: 3100, Train_loss:0.103562
Step: 3200, Train_loss:0.148723
Step: 3300, Train_loss:0.127424
Step: 3400, Train_loss:0.0746611
Step: 3500, Train_loss:0.0980195
Step: 3600, Train_loss:0.0957088
Step: 3700, Train_loss:0.176291
Step: 3800, Train_loss:0.121022
Step: 3900, Train_loss:0.118037
Step: 4000, Train_loss:0.116056
Step: 4100, Train_loss:0.134819
Step: 4200, Train_loss:0.0936813
Step: 4300, Train_loss:0.083408
Step: 4400, Train_loss:0.10782
Step: 4500, Train_loss:0.0889501
Step: 4600, Train_loss:0.150673
Step: 4700, Train_loss:0.101773
Step: 4800, Train_loss:0.103435
Step: 4900, Train_loss:0.103319
Step: 5000, Train_loss:0.0969865
Step: 5100, Train_loss:0.0892106
Step: 5200, Train_loss:0.12996
Step: 5300, Train_loss:0.105079
Step: 5400, Train_loss:0.136891
Step: 5500, Train_loss:0.0975522
Step: 5600, Train_loss:0.176987
Step: 5700, Train_loss:0.0669042
Step: 5800, Train_loss:0.122569
Step: 5900, Train_loss:0.0832616
Step: 6000, Train_loss:0.0831753
2018-10-13 23:25:49.397994 ---> Validation_loss: 0.14883
Step: 6100, Train_loss:0.134463
Step: 6200, Train_loss:0.129492
Step: 6300, Train_loss:0.106657
Step: 6400, Train_loss:0.0783751
Step: 6500, Train_loss:0.0969076
Step: 6600, Train_loss:0.13979
Step: 6700, Train_loss:0.0722528
Step: 6800, Train_loss:0.100184
w Step: 6900, Train_loss:0.0849878
Step: 7000, Train_loss:0.0658168
Step: 7100, Train_loss:0.0850494
Step: 7200, Train_loss:0.046481
Step: 7300, Train_loss:0.0809432
Step: 7400, Train_loss:0.0557005
Step: 7500, Train_loss:0.106904
Step: 7600, Train_loss:0.0552692
Step: 7700, Train_loss:0.109149
Step: 7800, Train_loss:0.114193
Step: 7900, Train_loss:0.0535859
Step: 8000, Train_loss:0.108872
Step: 8100, Train_loss:0.0916084
